Software,RP Name,Software Type,Software Class,Research Field,Research Area,Research Discipline,Software Description,Core Features,General Tags,Software's Web Page,Software Documentation,Example Software Use,RP Software Documentation,Version Info,AI Description,Example Use
amd-rocm,Darwin,Toolkit,Environment,,,,"AMD ROCm is a comprehensive software ecosystem tailored for GPU-accelerated computing tasks, offering robust support for parallel processing and machine learning applications.",,,https://www.amd.com/en/developer/resources/rocm-hub.html,https://rocm.docs.amd.com/en/latest/index.html,,,,,
amd-uprof,Darwin,Compiler/Profiler,Performance Analysis Tool,Computer & Information Sciences,"Software Engineering, Systems, & Development",Computer Science,"AMD uProf (“MICRO-prof”) is a software profiling analysis tool for x86 applications running on Windows, Linux and FreeBSD operating systems and provides event information unique to the AMD “Zen”-based processors and AMD Instinct™ MI Series accelerators. AMD uProf enables the developer to better understand the limiters of application performance and evaluate improvements.","1. Performance analysis tools for AMD processors.
2. Detailed insights into application performance.
3. Power usage analysis.
4. Code optimization capabilities.
5. Identify performance bottlenecks.","Performance Analysis, Application Optimization, Amd Processors",https://www.amd.com/en/developer/uprof.html,https://www.amd.com/content/dam/amd/en/documents/developer/version-4-2-documents/uprof/uprof-user-guide-v4.2.pdf,,,,"AMD uProf is a performance analysis tool suite for AMD processors that provides detailed insights into application performance and power usage. It allows developers to analyze code performance, identify bottlenecks, and optimize applications for AMD platforms.",
amdblis,"Anvil, Expanse",Computational Tool,Data Analysis & Visualization,Biological Sciences,Single-Molecule Biophysics,Biophysics,AMD Optimized BLIS is a portable software framework for instantiating high-performance BLAS-like dense linear algebra libraries.,"Amdblis includes tools for data analysis from single-molecule experiments, such as particle tracking, dwell time analysis, and fluorescence analysis. It also offers visualization capabilities for generating plots and heat maps.","Computational Software, Data Analysis, Visualization",https://www.amd.com/es/developer/aocl/blis.html,https://github.com/flame/blis,https://github.com/flame/blis,"Anvil: https://www.rcac.purdue.edu/software/amdblis 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules","Anvil: 3.0
Expanse: Zcuungw-Omp, 6Sfatsa","Amdblis is a computational software for analyzing and visualizing single-molecule data, particularly for biophysical studies.",
amdfftw,"Anvil, Expanse",Library,Mathematics,,Engineering,Mathematics,"An AMD optimized version of FFTW. FFTW is a C subroutine library for computing the discrete Fourier transform (DFT) in one or more dimensions, of arbitrary input size, and of both real and complex data (as well as of even/odd data, i.e. the discrete cosine/sine transforms or DCT/DST). We believe that FFTW, which is free software, should become the FFT library of choice for most applications. 
Description Source: https://www.fftw.org/",,,https://www.fftw.org/,https://github.com/amd/amd-fftw,https://www.fftw.org/fftw3_doc/Tutorial.html,"Anvil: https://www.rcac.purdue.edu/software/amdfftw 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules","Anvil: 3.0
Expanse: T757St4, Zqoqbjf-Omp, ...",,
amdlibflame,"Anvil, Expanse",Library,Computational Software,Computer & Information Sciences,Engineering,Mathematics,"libFLAME AMD Optimized version is a portable library for dense matrix computations, providing much of the functionality present in Linear Algebra Package LAPACK. It includes a compatibility layer, FLAPACK, which includes complete LAPACK implementation.","High-Performance Implementation Of Dense Linear Algebra Routines On Cpus, Open-Source Nature For Accessibility & Customization, Efficient & Robust Algebraic Computations For Numerical Linear Algebra Applications","Linear Algebra, Numerical Computations, Performance Optimization",https://www.amd.com/en/developer/aocl/blis.html#AOCL-libflame,https://github.com/amd/libflame,,"Anvil: https://www.rcac.purdue.edu/software/amdlibflame 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules","Anvil: 3.0
Expanse: F37Pl2Z",AMD LIBFLAME is an open-source software library that provides a high-performance implementation of the dense linear algebra routines on CPUs. It aims to offer efficient and robust algebraic computations for numerical linear algebra applications.,
amdlibm,"Anvil, Expanse",Math Library,Library,Engineering & Technology,Engineering,Mathematics,AMD LibM is a software library containing a collection of basic math functions optimized for x86-64 processor-based machines. It provides many routines from the list of standard C99 math functions. Applications can link into AMD LibM library and invoke math functions instead of compilers math functions for better accuracy and performance.,"Some core features of amdlibm include optimized mathematical functions for common operations such as elementary functions (e.g., sin, cos), exponential and logarithmic functions, and more. The library is optimized to leverage the advanced capabilities of AMD processors to achieve high performance and accurate computation results.","Mathematics, Numerical Computation, Math Library",https://www.amd.com/de/developer/aocl/libm.html,https://github.com/amd/aocl-libm-ose,,"Anvil: https://www.rcac.purdue.edu/software/amdlibm 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules","Anvil: 3.0
Expanse: Uil3Tqx",AMDlibm is a software library provided by AMD that offers mathematical functions specifically optimized for high performance on AMD processors. It provides a collection of mathematical functions designed to exploit the advanced features of AMD processors for enhanced numerical computation.,
amdscalapack,"Anvil, Expanse",Library,Mathematics,,Engineering,Mathematics,ScaLAPACK is a library of high-performance linear algebra routines for parallel distributed memory machines. It depends on external libraries including BLAS and LAPACK for Linear Algebra computations.,,,https://www.amd.com/de/developer/aocl/scalapack.html,https://github.com/amd/aocl-scalapack,,"Anvil: https://www.rcac.purdue.edu/software/amdscalapack 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules","Anvil: 3.0
Expanse: 7Qg2Ts5",,
amduprof,"Delta, Expanse",Tool,Performance Profiler,Computer & Information Sciences,Artificial Intelligence & Intelligent Systems,Computer Science,"AMD uProf (“MICRO-prof”) is a software profiling analysis tool for x86 applications running on Windows, Linux and FreeBSD operating systems and provides event information unique to the AMD “Zen”-based processors and AMD Instinct™ MI Series accelerators. AMD uProf enables the developer to better understand the limiters of application performance and evaluate improvements.","Profiling Opencl Applications, Analyzing Memory Access Patterns, Identifying Kernel Occupancy, Monitoring Compute Unit Utilization","Gpu Profiling, Opencl Profiler, Performance Analysis",https://www.amd.com/en/developer/uprof.html,https://www.amd.com/content/dam/amd/en/documents/developer/uprof-v4.0-gaGA-user-guide.pdf,https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/debug_perf.html,"Delta: https://docs.ncsa.illinois.edu/systems/delta/en/latest/user_guide/software.html 
Expanse: https://www.sdsc.edu/support/user_guides/expanse.html#modules","Delta: 3.5, 3.6, 4.0
Expanse: 3.4.475","amduprof is a tool developed for profiling OpenCL applications on AMD GPUs. It provides insights into the performance of OpenCL kernels by analyzing memory access patterns, kernel occupancy, and compute unit utilization.",
amos,Faster,Sequence Assembly Software,Bioinformatics Tool,Biological Sciences,Genomics,Genetics,The AMOS consortium is committed to the development of open-source whole genome assembly software.,"DNA Sequence Assembly, Next-Generation Sequencing Data Analysis, Modular & Open-Source Framework, Various Assembly Algorithms","Assembly, DNA Sequencing, Bioinformatics",http://amos.sourceforge.net,https://amos.sourceforge.net/wiki/index.php/AMOS#Documentation,https://amos.sourceforge.net/wiki/index.php/Programmer%27s_guide,Faster: https://hprc.tamu.edu/software/faster/,Faster: 3.1.0,AMOS (A Modular Open-Source Assembler) is a collection of tools and techniques for assembly of DNA sequences. It includes a robust collection of assembly algorithms and pipeline components for analyzing data from common next-generation sequencing platforms.,
amphora2,Faster,Computational Software,Bioinformatics Tool,Biological Sciences,Ecology,Biological Sciences,An Automated Phylogenomic Inference Pipeline for Bacterial and Archaeal Sequences.,"1. Phylogenetic placement of metagenomic reads
2. Taxonomic classification of microbial sequences
3. Accurate estimation of phylogenetic relationships
4. Rapid analysis of complex environmental samples","Bioinformatics, Metagenomics, Phylogenetics",https://github.com/wu-lab-uva/AMPHORA2,,,Faster: https://hprc.tamu.edu/software/faster/,Faster: 20190730-Java-13-Pthreads-Avx2,Amphora2 is a bioinformatics tool designed for the accurate and rapid estimation of phylogenetic placement of metagenomic reads. It facilitates the taxonomic classification of microbial sequences within complex environmental samples.,
amptk,Anvil,Application,Bioinformatics,Biological Sciences,Sciences,Biological Sciences,"Amptk is a series of scripts to process NGS amplicon data using USEARCH and VSEARCH, it can also be used to process any NGS amplicon data and includes databases setup for analysis of fungal ITS, fungal LSU, bacterial 16S, and insect COI amplicons.","1. Demultiplexing and quality filtering of raw sequencing data.
2. Denoising and dereplication of sequences to remove errors.
3. Chimera removal to improve the accuracy of data.
4. OTU picking based on clustering at specified sequence similarities.
5. Taxonomic assignment of OTUs using reference databases.
6. Diversity analyses for comparing microbial communities.","Bioinformatics, Amplicon Analysis, Metabarcoding, High-Throughput Sequencing, 16S Rrna Gene, Its Sequences",https://github.com/nextgenusfs/amptk,https://amptk.readthedocs.io/en/latest/,,Anvil: https://www.rcac.purdue.edu/software/amptk,Anvil: 1.5.4,"Amplicon analysis and metabarcoding toolkit (amptk) is a bioinformatics pipeline for analyzing high-throughput amplicon sequencing data such as 16S rRNA gene sequences and Internal Transcribed Spacer (ITS) sequences. It provides various modules for processing raw sequence data, including demultiplexing, quality filtering, denoising, chimera removal, operational taxonomic unit (OTU) picking, taxonomic assignment, and diversity analysis.",
